"filename", "language", "HTML", "PHP", "CSS", "JavaScript", "comment", "blank", "total"
"c:\Users\callu\OneDrive\Documents\UoG\1st Year\CT4034 Web Development\Website\scss\policesignup.css", "CSS", 0, 0, 176, 0, 24, 45, 245
"c:\Users\callu\OneDrive\Documents\UoG\1st Year\CT4034 Web Development\Website\scss\privpol.css", "CSS", 0, 0, 153, 0, 19, 35, 207
"c:\Users\callu\OneDrive\Documents\UoG\1st Year\CT4034 Web Development\Website\scss\profile.css", "CSS", 0, 0, 215, 0, 28, 56, 299
"c:\Users\callu\OneDrive\Documents\UoG\1st Year\CT4034 Web Development\Website\scss\register.css", "CSS", 0, 0, 197, 0, 25, 44, 266
"c:\Users\callu\OneDrive\Documents\UoG\1st Year\CT4034 Web Development\Website\scss\signin.css", "CSS", 0, 0, 203, 0, 30, 58, 291
"c:\Users\callu\OneDrive\Documents\UoG\1st Year\CT4034 Web Development\Website\scss\signup.css", "CSS", 0, 0, 235, 0, 35, 68, 338
"c:\Users\callu\OneDrive\Documents\UoG\1st Year\CT4034 Web Development\Website\scss\stolenbikes.css", "CSS", 0, 0, 265, 0, 38, 76, 379
"c:\Users\callu\OneDrive\Documents\UoG\1st Year\CT4034 Web Development\Website\scss\tandc.css", "CSS", 0, 0, 167, 0, 25, 48, 240
"c:\Users\callu\OneDrive\Documents\UoG\1st Year\CT4034 Web Development\Website\signin.html", "HTML", 53, 0, 0, 0, 21, 10, 84
"c:\Users\callu\OneDrive\Documents\UoG\1st Year\CT4034 Web Development\Website\signup.html", "HTML", 74, 0, 0, 0, 25, 18, 117
"c:\Users\callu\OneDrive\Documents\UoG\1st Year\CT4034 Web Development\Website\tandc.html", "HTML", 188, 0, 0, 0, 15, 84, 287
"Total", "-", 849, 1075, 2393, 163, 742, 1103, 6325
